Song Name,Singer,Lyrics
Pour que tu m'aimes encore,Céline Dion,"J′ai compris tous les mots
J'ai bien compris, merci
Raisonnable et nouveau
C′est ainsi par ici
Que les choses ont changé
Que les fleurs ont fané
Que le temps d'avant
C'était le temps d′avant
Que si tout zappe et lasse
Les amours aussi passent
Il faut que tu saches


J′irai chercher ton cœur
Si tu l'emportes ailleurs
Même si dans tes danses
D′autres dansent tes heures
J'irai chercher ton âme
Dans les froids, dans les flammes
Je te jetterai des sorts
Pour que tu m′aimes encore
Pour que tu m'aimes encore

Fallait pas commencer
M′attirer, me toucher
Fallait pas tant donner
Moi, je sais pas jouer
On me dit qu'aujourd'hui
On me dit que les autres font ainsi
Je ne suis pas les autres, non, non, non
Avant que l′on s′attache
Avant que l'on se gâche
Je veux que tu saches

J′irai chercher ton cœur
Si tu l'emportes ailleurs
Même si dans tes danses
D′autres dansent tes heures
J'irai chercher ton âme
Dans les froids, dans les flammes
Je te jetterai des sorts
Pour que tu m′aimes encore

Je trouverai des langages
Pour chanter tes louanges
Je ferai nos bagages
Pour d'infinies vendanges
Les formules magiques
Des marabouts d'Afrique
Je les dirai sans remords
Pour que tu m′aimes encore

Je m′inventerai reine
Pour que tu me retiennes
Je me ferai nouvelle
Pour que le feu reprenne
Je deviendrai ces autres
Qui te donnent du plaisir
Vos jeux seront les nôtres
Si tel est ton désir
Plus brillante, plus belle
Pour une autre étincelle
Je me changerai en or
Pour que tu m'aimes encore
Pour que tu m′aimes encore

Pour que tu m'aimes encore
Pour que tu m′aimes encore
Pour que tu m'aimes encore
Pour que tu m′aimes, pour que tu m'aimes
Pour que tu m'aimes encore, encore
Pour que tu m′aimes encore
Pour que tu m′aimes encore
"
Qui a le droit,Patrick Bruel,"On m'avait dit ""te pose pas trop de questions""
Tu sais petit, c'est la vie qui te répond
À quoi ça sert de vouloir tout savoir?
Regarde en l'air et vois ce que tu peux voir
On m'avait dit ""faut écouter son père""
Le mien a rien dit, quand il s'est fait la paire
Maman m'a dit ""t'es trop p'tit pour comprendre""
Et j'ai grandi avec une place à prendre
Qui a le droit, qui a le droit
Qui a le droit d'faire ça
À un enfant qui croit vraiment
C'que disent les grands?
On passe sa vie à dire merci
Merci à qui, à quoi?
À faire la pluie et le beau temps
Pour des enfants à qui l'on ment
On m'avait dit que les hommes sont tous pareils
Y'a plusieurs dieux, mais y'a qu'un seul soleil
Oui mais, l'soleil il brille ou bien il brûle
Tu meurs de soif ou bien tu bois des bulles
À toi aussi, j'suis sûr qu'on t'en a dit
De belles histoires, tu parles, que des conneries
Alors maintenant, on s'retrouve sur la route
Avec nos peurs, nos angoisses et nos doutes
Qui a le droit, qui a le droit
Qui a le droit d'faire ça
À un enfant qui croit vraiment
C'que disent les grands?
On passe sa vie à dire merci
Merci à qui, à quoi?
À faire la pluie et le beau temps
Pour des enfants à qui l'on ment
Qui a le droit, qui a le droit
Qui a le droit d'faire ça
À un enfant qui croit vraiment
C'que disent les grands?
On passe sa vie à dire merci
Merci à qui, à quoi?
À faire la pluie et le beau temps
Pour des enfants à qui l'on ment"
Ramenez la coupe à la maison,Vegedream,"Eh ça c'est Vegedream de Gagnoa
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Et si y'a drah on peut toujours appeler Benjamin Mendy
Et si y'a drah on peut toujours appeler Benjamin Mendy
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
Qui contrôle le terrain? (Matuidi)
Blaise Matuidi, eh (Matuidi)
Avec lui on est serein (Matuidi)
Blaise Matuidi, eh (Matuidi)
Qui contrôle le terrain? (Matuidi)
Blaise Matuidi, eh (Matuidi)
Avec lui on est serein (Matuidi)
Blaise Matuidi, eh (Matuidi)
Passement de jambe, crochet à gauche, à droite
Kylian Mbappé
Accélération, virgule, petit-pont, frappe
Kylian Mbappé
J'sais plus si j'suis gaucher ou droitier
Je tire des deux pieds, Ousmane Dembélé
J'sais plus si j'suis gaucher ou droitier
Je tire des deux pieds, Ousmane Dembélé
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Comment il s'appelle? Kanté
N'golo, N'golo Kanté
Maestro Kimpembe, Kimpembe, Kimpembe, Kimpembe
Kimpembe, Kimpembe, Kimpembe
Le milieu est assuré
Attaquant, défense
Paulo, Paulo Paul Pogba
La Pioche Paulo, Paulo Paul Pogba
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
On est ensemble
Antoine Griezmann, pénalty
On est ensemble
On est ensemble
Nabil Fékir, Tolisso
On est ensemble
On est ensemble
Pavard, Ramy, Hernandez
On est ensemble
On est ensemble
Mandanda, Lloris, Sidibé
On est ensemble
On est ensemble
Olivier Giroud, Nzonzi
On est ensemble
Raphaël Varane, Flo' Thauvin
On est ensemble
Thomas Lemar, Areola
On est ensemble
Et ça c'est Vegedream de Gagnoa
Didier Deschamps, merci beaucoup
On est ensemble
On est ensemble"
Si tu veux (Que je chante),Stephan Eicher,"Si tu veux que je chante
Ne sois pas infidèle
Ne me crois pas si fort
Ne me crois pas si faible
Que je puisse accepter
La brûlure et le froid
Sans perdre le sourire
Sans perdre la voix
Si tu veux que j'entende
Sois désormais plus claire
Ne me roule plus dans rien
Ne brouille plus mes repères
Sous peine de relancer
Les ""comment"" les ""pourquoi""
Qui font perdre patience
Qui font perdre la foi
Inutile de me tendre
Une impatiente oreille
Le goût de toi me manque
Mais rien ne se réveille
Les paroles ne viennent plus
La musique n'est plus là
Comme sec est mon cœur
Comme secs sont mes bras
Si tu veux que je chante
Si tu veux que je chante
Les paroles ne viennent plus
La musique n'est plus là
Comme sec est mon cœur
Comme secs sont mes bras"
Tout là‐haut,Zaz,"Si on s'en allait tout là haut
Si on prenait de la hauteur
Tu verrais que le monde est beau
Beau
Si on allait chiner l'écho
Qui guérit les peines et les peurs
Peut-être trouveras tu les mots
Les mots
Au-delà des fourbes apparences
Derrière nos loups de circonstance
Sous nos masques cousus d'espérance
Se cachent les fêlures de l'enfance
De l'enfance
L'air de rien on n'est pas mal tout là haut
On goûte aux étoiles tout là haut
On oublie nos certitudes
On chérit la solitude
À faire une escale tout là haut
À nourrir le calme tout là haut
On ne joue plus d'artifices
On sait pourquoi on existe
Enfin, allez viens
Si on s'en allait tout là haut
Pour mieux s'imprégner des couleurs
Saurions nous faire taire notre égo, oh
À démêler le vrai du faux
À chercher en nous le meilleur
Libre comme le cœur des oiseaux
Là haut
Au-delà des fausses apparences
Dans nos cailloux d'adolescence
Sous nos masques teintés d'insouciance
Sommeillent les blessures de l'enfance
De l'enfance
L'air de rien on n'est pas mal tout là haut
On goûte aux étoiles tout là haut
On oublie nos certitudes
On chérit la solitude
À faire une escale tout là haut
À nourrir le calme tout là haut
On ne joue plus d'artifices
On sait pourquoi on résiste
Enfin, allez viens, allez viens
Allez viens
Allez viens
Allez viens
Si on s'en allait tout là haut
Pour mieux se parer de douceur
Tu verrais tout d'un œil nouveau
Si on ressortait nos pinceaux
Pour dessiner à bras le cœur
Les contours de nos idéaux
La haut
Au-delà des sottes apparences
Dans le sillon de l'existence
Sous nos masques cousus d'espérance
Charrient les brûlures de l'enfance
De l'enfance
L'air de rien on n'est pas mal tout là haut
On goûte aux étoiles tout là haut
On oublie nos certitudes
On chérit la solitude
À faire une escale tout là haut
À nourrir le calme tout là haut"
Toute première fois,Jeanne Mas,"Ah
Des gouttes salées
Ont déchiré
L'étrange pâleur d'un secret
Ah
Pourquoi ces mots
Si forts, si chauds
Qu'ils gémissaient sur ta peau
Te font l'effet d'un couteau?
Et tu recherches dans le vague
Une ombre, un sourire qui soulage
Une voix sans image
Un refrain qui voudrait crier
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Ah
Lèvres séchées
Gorge nouée
Tes mains ne serrent qu'à fumer
Ah
Que d'insolence
Dans le silence
Qui trouble ton innocence
Un jeu mêlé de souffrances
Comme un guerrier que l'on blesse
Se cache dans son rêve
Se masque de tout son courage
Sans cesse continue le combat
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Comme la toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois"
Un jour je marierai un ange,Pierre de Maere,"Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Ici, l'amour c'est beaucoup, beaucoup trop superficiel
On fait que te répéter un jour ""il tombera du ciel""
Et c'est toujours les mêmes discours
De belles paroles, bientôt vous serez à court
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
Que plus rien ne bouge sauf nos lèvres
Je m'élève, eh
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
D'un amour n'existant pas
Qui pourtant m'attristera
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change, ne change
Ici, l'amour c'est beaucoup, beaucoup trop conceptuel
On fait que te répéter ""les hommes, les femmes sont si cruels""
Et c'est jamais comme au cinéma
Décidément on est moins beaux loin des caméras
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
Que plus rien ne bouge sauf nos lèvres
Je m'élève, eh
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
D'un amour n'existant pas
Qui pourtant m'attristera
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change, ne change
(Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages)"
Valses de Vienne,François Feldman,"Du pont des supplices
Tombent les actrices
Et dans leurs yeux chromés
Le destin s'est brouillé
Au café de Flore
La faune et la flore
On allume le monde
Dans une fumée blonde
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses?
Dans la Rome antique
Errent les romantiques
Les amours infidèles
S'écrivent sur logiciels
Du fond de la nuit
Remontent l'ennui
Et nos chagrins de mômes
Dans les pages du Grand Meaulnes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses?
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes, si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses? À quoi tu penses?
"
Viens boire un p'tit coup à la maison,Licence IV,"Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Pour pouvoir écrire le premier couplet
On avait des crêpes au Grand Marnier
Les crêpes étaient bonnes mais trop salées
On s'est forcé, on a tout bu et on n'a rien mangé
Faut faire la cuisine sans être bourré
Et cette fois y'a pas de premier couplet
Pas se marrer et se mettre à chanter
Y'a pas le vin, y'a pas le pain si y'a pas les copains
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Nous on aime bien les chansons à boire
Mais ce qui nous rendit un peu d'espoir
C'est que t'en avais pas fini de la poire
Qu'on s'est forcé, on a tout bu et on a rien mangé
On a tous fini complètement noirs
C'était pas la fin de nos déboires
J'arrive pas à mettre une suite à cette histoire
Y'a pas le vin, y'a pas de pain si y'a pas les copains
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Tout ça se serait bien terminé
Si nos bonnes femmes n'étaient pas rentrées
Elles nous ont mis le Pernod sous clé
Elles ont gueulé plus fort que nous et on s'est fait virer
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Allez viens boire un p'tit coup à la maison
Y'a du blanc, y'a du rouge, du saucisson
Et Gillou avec son p'tit accordéon
Vive les bouteilles et les copains et les chansons
Allez viens boire un p'tit coup à la maison"
Voilà,Barbara Pravi,"Écoutez moi
Moi la chanteuse à demi
Parlez de moi
À vos amours, à vos amis
Parler leur de cette fille aux yeux noirs et de son rêve fou
Moi c'que j'veux c'est écrire des histoires qui arrivent jusqu'à vous
C'est tout
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue j'ai peur, oui
Me voilà dans le bruit et dans le silence
Regardez moi, ou du moins ce qu'il en reste
Regardez moi, avant que je me déteste
Quoi vous dire, que les lèvres d'une autre ne vous diront pas
C'est peu de chose mais moi tout ce que j'ai je le dépose là, voilà
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
C'est ma gueule c'est mon cri, me voilà tant pis
Voilà, voilà, voilà, voilà juste ici
Moi mon rêve mon envie, comme j'en crève comme j'en ris
Me voilà dans le bruit et dans le silence
Ne partez pas, j'vous en supplie restez longtemps
Ça m'sauvera peut-être pas, non
Mais faire sans vous j'sais pas comment
Aimez moi comme on aime un ami qui s'en va pour toujours
J'veux qu'on m'aime parce que moi je sais pas bien aimer mes contours
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
Me voilà dans le bruit et dans la fureur aussi
Regardez moi enfin et mes yeux et mes mains
Tout c'que j'ai est ici, c'est ma gueule c'est mon cri
Me voilà, me voilà, me voilà
Voilà, voilà, voilà, voilà
Voilà"
Vois sur ton chemin,Les Choristes,"Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie
Sentier de gloire (ardeur de la vie, de la vie)
Sentier de gloire, sentier de gloire
Bonheurs enfantins
Trop vite oubliés, effacés
Une lumière dorée brille sans fin
Tout au bout du chemin
Vite oubliés, effacés
Une lumière dorée brille sans fin
Sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
Sentier de gloire
Ardeur de la vie, de la vie
Sentier de gloire, sentier de gloire
Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
Sentier de gloire
Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie
Sentier de-, sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie"
À tout jamais,Charles Aznavour,"Quand nous aurons fermé les yeux
À tout jamais, à tout jamais
À l'instant du dernier adieu
J'en aurai encore du regret

J'en aurai encore du remords
Et partirai avec ma peine
Et pour peu que je me souvienne
Ce mal n'en sera que plus fort

Car nous avons fermé nos coeurs
À tout jamais, à tout jamais
Pour remplacer tant de bonheur
Par du chagrin et des regrets

Lorsque les siècles bout à bout
À tout jamais, à tout jamais
Aurons mis le passé sur nous
Et que l'oubli sera complet

S'il reste encore une lueur
S'il reste encore un rien de flamme
Sous la cendre tiède de l'âme
Qui paraît-il jamais ne meurt

Pour trouver le calme infini
À tout jamais, à tout jamais
Tout comme au temps de notre vie
Mon amour, je te chercherai

T'appellerai
Te trouverai
Te garderai
À tout jamais"
Être une femme,Michel Sardou,"Dans un voyage en absurdie
Que je fais lorsque je m'ennuie
J'ai imaginé sans complexe
Qu'un matin je changeais de sexe
Que je vivais l'étrange drame
D'être une femme
Femme des années 80
Mais femme jusqu'au bout des seins
Ayant réussi l'amalgame
De l'autorité et du charme
Femme des années 80
Moins Colombine qu'Arlequin
Sachant pianoter sur la gamme
Qui va du grand sourire aux larmes
Être un P.D.G. en bas noirs
Sexy comme autrefois les stars
Être un général d'infanterie
Rouler des patins aux conscrits
Enceinte jusqu'au fond des yeux
Qu'on a envie d'appeler monsieur
Être un flic ou pompier de service
Et donner le sein à mon fils
Femme cinéaste, écrivain
À la fois poète et mannequin
Femme panthère sous sa pelisse
Et femme banquière planquée en Suisse
Femme dévoreuse de minets
Femme directeur de cabinet
À la fois sensuelle et pudique
Et femme chirurgien-esthétique
Une maîtresse Messaline
Et contremaîtresse à l'usine
Faire le matin les abattoirs
Et dans la soirée le trottoir
Femme et gardien de la paix
Chauffeur de car, agent-secret
Femme général d'aviation
Rouler des gamelles aux plantons
Être un major de promotion
Parler six langues, ceinture marron
Championne du monde des culturistes
Aimer Sissi impératrice
Enceinte jusqu'au fond des yeux
Qu'on a envie d'appeler monsieur
En robe du soir, à talons plats
Qu'on voudrait bien appeler papa
Femme pilote de long-courriers
Mais femme à la tour contrôlée
Galonnée jusqu'au porte-jarretelles
Et au steward rouler des pelles
Maîtriser à fond le système
Accéder au pouvoir suprême
S'installer à la Présidence
Et de là faire bander la France
Femme et gardienne de prison
Chanteuse d'orchestre et franc-maçon
Une strip-teaseuse à corps perdu
Emmerdeuse comme on en fait plus
Femme conducteur d'autobus
Porte des halles, vendeuse aux puces
Qu'on a envie d'appeler Georges
Mais qu'on aime bien sans soutien-gorge
Être une femme (être une femme, être une femme)
Être une femme (être une femme)
Être une femme (être une femme, être une femme)
Être une femme (être une femme)
Femme des années 80
Mais femme jusqu'au bout des seins
Ayant réussi l'amalgame
De l'autorité et du charme
Femme des années 80
Moins Colombine qu'Arlequin
Sachant pianoter sur la gamme
Qui va du grand sourire aux larmes
Être un P.D.G. en bas noirs
Sexy comme autrefois les stars
Être un général d'infanterie
Rouler des patins aux conscrits
Femme cinéaste, écrivain
À la fois poète et mannequin
Femme panthère sous sa pelisse
Et femme banquière planquée en Suisse
Femme dévoreuse de minets
Femme directeur de cabinet
À la fois sensuelle et pudique
Et femme chirurgien-esthétique
Être un major de promotion
Parler six langues, ceinture marron
Championne du monde des culturistes
Aimer Sissi impératrice
Femme et gardien de la paix
Chauffeur de car, agent-secret
Femme général d'aviation
Rouler des gamelles aux plantons
Femme pilote de long-courriers
Mais femme à la tour contrôlée
Galonnée jusqu'au porte-jarretelles
Et au steward rouler des pelles
Maîtriser à fond le système
Accéder au pouvoir suprême
S'installer à la Présidence
Et de là faire bander la France
Femme des années 80
Moins Colombine qu'Arlequin
Sachant pianoter sur la gamme
Qui va du grand sourire aux larmes"
